fecha,municipio,pib_mun_desestacionalizado,pib_mun_trend
2004-03-31,Monterrey,167515.3054737361,167869.4812371152
2004-06-30,Monterrey,168929.5669867087,169359.6709568829
2004-09-30,Monterrey,170946.17225472495,170801.77064663198
2004-12-31,Monterrey,174093.55608848206,172221.51772248247
2005-03-31,Monterrey,173214.08375544948,173656.6048616687
2005-06-30,Monterrey,174094.96439878474,175070.8616431046
2005-09-30,Monterrey,176093.5018508834,177068.38250044707
2005-12-31,Monterrey,177301.23208619552,179893.86521558333
2006-03-31,Monterrey,184019.37169762028,183162.1932631229
2006-06-30,Monterrey,187880.88206599967,186441.5769506139
2006-09-30,Monterrey,190799.9308572987,189515.270756668
2006-12-31,Monterrey,191459.1613826773,191982.15661006974
2007-03-31,Monterrey,194076.86768438885,193769.37587740313
2007-06-30,Monterrey,196792.2363070721,195114.94755211417
2007-09-30,Monterrey,195689.6815765159,195944.30662910925
2007-12-31,Monterrey,198185.96359538886,196087.3261035028
2008-03-31,Monterrey,195064.2217476097,195291.1605391285
2008-06-30,Monterrey,196021.3359183341,193261.80187393216
2008-09-30,Monterrey,192035.0476914931,189814.20379180883
2008-12-31,Monterrey,186977.34915946302,185773.52814805676
2009-03-31,Monterrey,178426.9589390823,182269.16893660816
2009-06-30,Monterrey,174589.6723637365,180343.5054352297
2009-09-30,Monterrey,178854.34199206906,180710.92306256527
2009-12-31,Monterrey,181050.0152460674,182833.51001941648
2010-03-31,Monterrey,189792.60328858762,185579.0207008705
2010-06-30,Monterrey,189028.3373574014,188303.27465335265
2010-09-30,Monterrey,188863.85599590425,190821.312182084
2010-12-31,Monterrey,192017.78155097048,193198.1372901081
2011-03-31,Monterrey,196149.47663791484,196134.99263054464
2011-06-30,Monterrey,198761.25867766104,199293.1471633093
2011-09-30,Monterrey,204708.50455198804,201778.55985233697
2011-12-31,Monterrey,206011.3061378638,203506.49422833024
2012-03-31,Monterrey,203192.86043758484,204466.27011064923
2012-06-30,Monterrey,204988.8364899677,204568.79299281957
2012-09-30,Monterrey,204827.52121026613,204352.36078430497
2012-12-31,Monterrey,204462.58136060674,204241.41771014905
2013-03-31,Monterrey,203137.2681956813,203998.85423103737
2013-06-30,Monterrey,204781.08828356463,203912.18589993333
2013-09-30,Monterrey,202240.31640192223,204446.6659450428
2013-12-31,Monterrey,204541.08039266203,205741.06366330534
2014-03-31,Monterrey,206489.8730888201,207592.10146408997
2014-06-30,Monterrey,211188.16415074246,209852.58564588145
2014-09-30,Monterrey,212582.93489409622,211908.78293646825
2014-12-31,Monterrey,214668.31939612687,213319.29977534257
2015-03-31,Monterrey,215393.3500426486,214306.93917387142
2015-06-30,Monterrey,212428.94232372535,215013.78594200755
2015-09-30,Monterrey,217039.35309550987,215605.9070705552
2015-12-31,Monterrey,215793.75714616413,216334.18691893754
2016-03-31,Monterrey,217442.65133652068,217246.82105128068
2016-06-30,Monterrey,218249.54602388365,218409.57898440966
2016-09-30,Monterrey,218017.98597783604,219942.08396271992
2016-12-31,Monterrey,221319.9454216013,221276.36866194158
2017-03-31,Monterrey,226293.11998203042,222422.93806153623
2017-06-30,Monterrey,222247.9033354528,224034.8622866814
2017-09-30,Monterrey,223330.19659830094,226651.6580383229
2017-12-31,Monterrey,225002.60197574913,230077.05116187283
2018-03-31,Monterrey,237688.0447113937,234028.55774636107
2018-06-30,Monterrey,242031.8830534396,237979.77799660387
2018-09-30,Monterrey,241553.0225692005,241773.7480504218
2018-12-31,Monterrey,242922.51454022035,245520.89639952526
2019-03-31,Monterrey,243315.1833804244,248360.2244048342
2019-06-30,Monterrey,261563.16616521208,248981.31591199015
2019-09-30,Monterrey,253754.2062180586,245165.26943140881
2019-12-31,Monterrey,247364.97864230198,236885.2349420048
2020-03-31,Monterrey,222314.35593585757,228007.14185423273
2020-06-30,Monterrey,196790.62590022178,222079.69013278966
2020-09-30,Monterrey,218325.34911395624,220730.3298085228
2020-12-31,Monterrey,226754.0034483626,224437.95426557097
2021-03-31,Monterrey,234787.05170027012,229932.02906937688
2021-06-30,Monterrey,240756.98979387118,233295.42238528832
2021-09-30,Monterrey,232937.65849205293,235176.56975351617
2021-12-31,Monterrey,230018.6053967998,236605.3540467243
2022-03-31,Monterrey,238092.64402711287,237896.2628498773
2022-06-30,Monterrey,244341.04039217765,239998.47712534573
2022-09-30,Monterrey,242061.67495287658,242448.26364063856
2022-12-31,Monterrey,243842.6041298432,244354.5629978769
2023-03-31,Monterrey,245081.3173954882,246880.82412848447
2023-06-30,Monterrey,246624.08156121214,249567.57986447148
2023-09-30,Monterrey,253175.5600002333,252331.59631576616
2023-12-31,Monterrey,257226.9212465581,255249.18130547728
