fecha,municipio,pib_mun,pib_mun_desestacionalizado
2004-03-31,Monterrey,167869.4812371152,167515.3054737361
2004-06-30,Monterrey,169359.6709568829,168929.5669867087
2004-09-30,Monterrey,170801.77064663198,170946.17225472495
2004-12-31,Monterrey,172221.51772248247,174093.55608848206
2005-03-31,Monterrey,173656.6048616687,173214.08375544948
2005-06-30,Monterrey,175070.8616431046,174094.96439878474
2005-09-30,Monterrey,177068.38250044707,176093.5018508834
2005-12-31,Monterrey,179893.86521558333,177301.23208619552
2006-03-31,Monterrey,183162.1932631229,184019.37169762028
2006-06-30,Monterrey,186441.5769506139,187880.88206599967
2006-09-30,Monterrey,189515.270756668,190799.9308572987
2006-12-31,Monterrey,191982.15661006974,191459.1613826773
2007-03-31,Monterrey,193769.37587740313,194076.86768438885
2007-06-30,Monterrey,195114.94755211417,196792.2363070721
2007-09-30,Monterrey,195944.30662910925,195689.6815765159
2007-12-31,Monterrey,196087.3261035028,198185.96359538886
2008-03-31,Monterrey,195291.1605391285,195064.2217476097
2008-06-30,Monterrey,193261.80187393216,196021.3359183341
2008-09-30,Monterrey,189814.20379180883,192035.0476914931
2008-12-31,Monterrey,185773.52814805676,186977.34915946302
2009-03-31,Monterrey,182269.16893660816,178426.9589390823
2009-06-30,Monterrey,180343.5054352297,174589.6723637365
2009-09-30,Monterrey,180710.92306256527,178854.34199206906
2009-12-31,Monterrey,182833.51001941648,181050.0152460674
2010-03-31,Monterrey,185579.0207008705,189792.60328858762
2010-06-30,Monterrey,188303.27465335265,189028.3373574014
2010-09-30,Monterrey,190821.312182084,188863.85599590425
2010-12-31,Monterrey,193198.1372901081,192017.78155097048
2011-03-31,Monterrey,196134.99263054464,196149.47663791484
2011-06-30,Monterrey,199293.1471633093,198761.25867766104
2011-09-30,Monterrey,201778.55985233697,204708.50455198804
2011-12-31,Monterrey,203506.49422833024,206011.3061378638
2012-03-31,Monterrey,204466.27011064923,203192.86043758484
2012-06-30,Monterrey,204568.79299281957,204988.8364899677
2012-09-30,Monterrey,204352.36078430497,204827.52121026613
2012-12-31,Monterrey,204241.41771014905,204462.58136060674
2013-03-31,Monterrey,203998.85423103737,203137.2681956813
2013-06-30,Monterrey,203912.18589993333,204781.08828356463
2013-09-30,Monterrey,204446.6659450428,202240.31640192223
2013-12-31,Monterrey,205741.06366330534,204541.08039266203
2014-03-31,Monterrey,207592.10146408997,206489.8730888201
2014-06-30,Monterrey,209852.58564588145,211188.16415074246
2014-09-30,Monterrey,211908.78293646825,212582.93489409622
2014-12-31,Monterrey,213319.29977534257,214668.31939612687
2015-03-31,Monterrey,214306.93917387142,215393.3500426486
2015-06-30,Monterrey,215013.78594200755,212428.94232372535
2015-09-30,Monterrey,215605.9070705552,217039.35309550987
2015-12-31,Monterrey,216334.18691893754,215793.75714616413
2016-03-31,Monterrey,217246.82105128068,217442.65133652068
2016-06-30,Monterrey,218409.57898440966,218249.54602388365
2016-09-30,Monterrey,219942.08396271992,218017.98597783604
2016-12-31,Monterrey,221276.36866194158,221319.9454216013
2017-03-31,Monterrey,222422.93806153623,226293.11998203042
2017-06-30,Monterrey,224034.8622866814,222247.9033354528
2017-09-30,Monterrey,226651.6580383229,223330.19659830094
2017-12-31,Monterrey,230077.05116187283,225002.60197574913
2018-03-31,Monterrey,234028.55774636107,237688.0447113937
2018-06-30,Monterrey,237979.77799660387,242031.8830534396
2018-09-30,Monterrey,241773.7480504218,241553.0225692005
2018-12-31,Monterrey,245520.89639952526,242922.51454022035
2019-03-31,Monterrey,248360.2244048342,243315.1833804244
2019-06-30,Monterrey,248981.31591199015,261563.16616521208
2019-09-30,Monterrey,245165.26943140881,253754.2062180586
2019-12-31,Monterrey,236885.2349420048,247364.97864230198
2020-03-31,Monterrey,228007.14185423273,222314.35593585757
2020-06-30,Monterrey,222079.69013278966,196790.62590022178
2020-09-30,Monterrey,220730.3298085228,218325.34911395624
2020-12-31,Monterrey,224437.95426557097,226754.0034483626
2021-03-31,Monterrey,229932.02906937688,234787.05170027012
2021-06-30,Monterrey,233295.42238528832,240756.98979387118
2021-09-30,Monterrey,235176.56975351617,232937.65849205293
2021-12-31,Monterrey,236605.3540467243,230018.6053967998
2022-03-31,Monterrey,237896.2628498773,238092.64402711287
2022-06-30,Monterrey,239998.47712534573,244341.04039217765
2022-09-30,Monterrey,242448.26364063856,242061.67495287658
2022-12-31,Monterrey,244354.5629978769,243842.6041298432
2023-03-31,Monterrey,246880.82412848447,245081.3173954882
2023-06-30,Monterrey,249567.57986447148,246624.08156121214
2023-09-30,Monterrey,252331.59631576616,253175.5600002333
2023-12-31,Monterrey,255249.18130547728,257226.9212465581
